ID_PLANO,CD_PLANO,NM_PLANO,CD_OPERADORA,RAZAO_SOCIAL,GR_MODALIDADE,PORTE_OPERADORA,VIGENCIA_PLANO,CONTRATACAO,GR_CONTRATACAO,SGMT_ASSISTENCIAL,GR_SGMT_ASSISTENCIAL,LG_ODONTOLOGICO,OBSTETRICIA,COBERTURA,TIPO_FINANCIAMENTO,ABRANGENCIA_COBERTURA,FATOR_MODERADOR,ACOMODACAO_HOSPITALAR,LIVRE_ESCOLHA,SITUACAO_PLANO,DT_SITUACAO,DT_REGISTRO_PLANO,DT_ATUALIZACAO,Previsão,Código do Plano,Assertividade
18633644,495544237,Direto Salvador PME/Empresarial Trad.23 AHO QP COP C,6246,Sul America Companhia De Seguro Saúde,Seguradora,Grande,P,Coletivo empresarial,Coletivo empresarial,Ambulatorial + Hospitalar com obstetrícia,Ambulatorial + Hospitalar,0,Com Obstetrícia,Médico-hospitalar,Preestabelecido,Grupo de municípios,Coparticipacão,Individual,Parcial sem internação,Ativo,2023-05-22,2023-05-22,2023-08-24,2,2,True
18644655,496000239,Prestige Empresarial/PME Trad.23 HO QP COP RM,6246,Sul America Companhia De Seguro Saúde,Seguradora,Grande,P,Coletivo empresarial,Coletivo empresarial,Hospitalar com obstetrícia,Hospitalar,0,Com Obstetrícia,Médico-hospitalar,Preestabelecido,Nacional,Coparticipacão,Individual,Parcial sem internação,Ativo,2023-06-22,2023-06-22,2023-08-24,2,9,False
18613282,494862239,Mais Pro Empresarial Rol Ampliado + Prótese,6246,Sul America Companhia De Seguro Saúde,Seguradora,Grande,P,Coletivo empresarial,Coletivo empresarial,Odontológico,Exclusivamente Odontológico,1,Não se Aplica,Odontológica,Preestabelecido,Nacional,Ausente,Não se Aplica,Parcial sem internação,Ativo,2023-03-27,2023-03-27,2023-08-24,2,13,False
18637579,495671231,Direto Rio II Adesão Trad.23 F AHO QC ,6246,Sul America Companhia De Seguro Saúde,Seguradora,Grande,P,Coletivo por adesão,Coletivo por adesão,Ambulatorial + Hospitalar com obstetrícia,Ambulatorial + Hospitalar,0,Com Obstetrícia,Médico-hospitalar,Preestabelecido,Grupo de municípios,Ausente,Coletiva,Parcial sem internação,Ativo,2023-06-02,2023-06-02,2023-08-24,2,2,True
18637885,495692233,Direto JP NSn Adesão Trad.23 F AHO QP COP,6246,Sul America Companhia De Seguro Saúde,Seguradora,Grande,P,Coletivo por adesão,Coletivo por adesão,Ambulatorial + Hospitalar com obstetrícia,Ambulatorial + Hospitalar,0,Com Obstetrícia,Médico-hospitalar,Preestabelecido,Grupo de municípios,Coparticipacão,Individual,Parcial sem internação,Ativo,2023-06-02,2023-06-02,2023-08-24,2,2,True
18602620,494695232,Direto Aracaju Empresarial Trad.15 AHO QC COP,6246,Sul America Companhia De Seguro Saúde,Seguradora,Grande,P,Coletivo empresarial,Coletivo empresarial,Ambulatorial + Hospitalar com obstetrícia,Ambulatorial + Hospitalar,0,Com Obstetrícia,Médico-hospitalar,Preestabelecido,Grupo de municípios,Coparticipacão,Coletiva,Parcial sem internação,Ativo,2023-03-03,2023-03-03,2023-08-24,2,2,True
18653960,496339233,Executivo Adesão Trad.23 A HO QP RM R1,6246,Sul America Companhia De Seguro Saúde,Seguradora,Grande,P,Coletivo por adesão,Coletivo por adesão,Hospitalar com obstetrícia,Hospitalar,0,Com Obstetrícia,Médico-hospitalar,Preestabelecido,Nacional,Ausente,Individual,Parcial sem internação,Ativo,2023-07-17,2023-07-17,2023-08-24,2,9,False
18654004,496343231,Especial 100 Adesão Trad.23 A HO QP COP RM R2,6246,Sul America Companhia De Seguro Saúde,Seguradora,Grande,P,Coletivo por adesão,Coletivo por adesão,Hospitalar com obstetrícia,Hospitalar,0,Com Obstetrícia,Médico-hospitalar,Preestabelecido,Nacional,Coparticipacão,Individual,Parcial sem internação,Ativo,2023-07-17,2023-07-17,2023-08-24,2,9,False
18654136,496355235,Especial 100 Adesão Trad.23 F HO QP RM RC,6246,Sul America Companhia De Seguro Saúde,Seguradora,Grande,P,Coletivo por adesão,Coletivo por adesão,Hospitalar com obstetrícia,Hospitalar,0,Com Obstetrícia,Médico-hospitalar,Preestabelecido,Nacional,Ausente,Individual,Parcial sem internação,Ativo,2023-07-17,2023-07-17,2023-08-24,2,9,False
18654246,496365232,Especial 100 Adesão Trad.23 A HO QP RM R1,6246,Sul America Companhia De Seguro Saúde,Seguradora,Grande,P,Coletivo por adesão,Coletivo por adesão,Hospitalar com obstetrícia,Hospitalar,0,Com Obstetrícia,Médico-hospitalar,Preestabelecido,Nacional,Ausente,Individual,Parcial sem internação,Ativo,2023-07-17,2023-07-17,2023-08-24,2,9,False
